"","DATA_YEAR","FIPS_CODE","BRIDGE_ID","YEAR_BUILT","YEAR_RECONSTRCUTED","AVERAGE_DAILY_TRAFFIC","YEAR_ADT","FUTURE_ADT","DECK_COND","SUPERSTRUCTURE_COND","CHANNEL_COND","CULVERT_COND","OPERATING_RATING","INVENTORY_RATING"
"10574",2019,55,"B67033400000000",2014,0,12800,2015,30000,"7","7","N","N",51.5,42.1
"10575",2019,55,"B67033500000000",2013,0,11009,2015,12109,"7","7","8","N",54.4,41.8
"10576",2019,55,"B67033600000000",2013,0,4040,2015,4444,"8","8","7","N",51.2,39.5
"10577",2019,55,"B67033700000000",2015,0,8500,2016,39600,"8","8","N","N",56.4,36
"10578",2019,55,"B67033800000000",2015,0,10150,2016,39600,"8","8","N","N",57,36.6
"10579",2019,55,"B67033900000000",2016,0,23100,2018,46500,"9","9","N","N",44.7,34.3
"10580",2019,55,"B67034000000000",2016,0,23100,2018,46500,"9","9","N","N",44.7,34.3
"10581",2019,55,"B67034100000000",2016,0,23100,2018,46500,"9","9","N","N",47.6,36.3
"10582",2019,55,"B67034200000000",2016,0,43100,2015,46500,"8","8","N","N",47.6,36.3
"10583",2019,55,"B67034300000000",1963,2012,5974,2015,6571,"N","N","6","6",53.9,32.4
"10584",2019,55,"B67034400000000",2018,0,11583,2016,13900,"9","9","N","N",50.5,37.9
"10585",2019,55,"B67034500000000",2017,0,5333,2016,6400,"9","9","N","N",50.9,35.3
"10586",2019,55,"B67034600000000",2015,0,1800,2015,2300,"8","8","8","N",44.1,34
"10587",2019,55,"B67034800000000",2015,0,8200,2016,8200,"8","8","7","N",51.5,39.9
"10588",2019,55,"B67034900000000",2012,0,251,2015,276,"N","N","8","8",51.8,42.1
"10589",2019,55,"B67035000000000",1992,0,9100,2016,9100,"N","N","8","8",49,32.4
"10590",2019,55,"B67035100000000",1971,1998,200,2016,200,"N","N","6","6",35.9,32.4
"10591",2019,55,"B67035600000000",2015,0,251,2015,276,"8","8","8","N",57.2,43.7
"10592",2019,55,"B67035800000000",2016,0,8800,2016,11800,"9","9","8","N",52.5,40.5
"10593",2019,55,"B67035900000000",2018,0,8700,2018,14000,"9","9","N","N",47,36.3
"10594",2019,55,"B67036700000000",2016,0,10400,2016,15460,"8","8","8","N",56.1,43.1
"10595",2019,55,"B67036800000000",2016,0,1900,2015,2300,"7","7","8","N",46,35.3
"10596",2019,55,"B67037000000000",2017,0,12200,2015,15645,"N","9","8","N",45.4,35.6
"10597",2019,55,"B67037100000000",2016,0,700,2016,840,"8","8","8","N",49.2,37.9
"10598",2019,55,"B67037200000000",2016,0,10,2016,10,"N","N","6","8",43.7,34
"10599",2019,55,"B67037300000000",2018,0,3200,2018,3700,"9","9","8","N",46.7,36
"10600",2019,55,"B67037600000000",2018,0,9250,2017,11100,"9","9","8","N",44.7,34.3
"10601",2019,55,"B67038300000000",2018,0,50,2018,100,"9","9","8","N",45.4,35.6
"10602",2019,55,"B67038400000000",2018,0,2600,2016,2600,"N","8","5","N",40.8,32.4
"10603",2019,55,"B67038800000000",2001,0,12360,2015,13596,"N","N","8","7",53.9,32.4
"10604",2019,55,"B67057900000000",1942,0,1015,2015,1116,"5","5","7","N",40.8,21.1
"10605",2019,55,"B67067000000000",1941,0,1133,2015,1246,"5","4","8","N",44.1,25.9
